,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__learning_rate,param_clf__max_depth,param_clf__num_leaves,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,369.8900302410126,0.8353893315753059,2.1473291873931886,0.25234935119726054,0.025,-1,200,"{'clf__learning_rate': 0.025, 'clf__max_depth': -1, 'clf__num_leaves': 200}",-0.9247400982739967,-0.9189492945030301,-0.9306520171656214,-0.9348889860118663,-0.9391902607652619,-0.9296841313439554,0.0071843440431345945,56,-0.5809859053930932,-0.5813623494926425,-0.5781876554756853,-0.5796078415496365,-0.5795965836565986,-0.5799480671135313,0.001132752941455214
1,490.72780737876894,0.9115516564952495,2.9200804233551025,0.3744512096275361,0.025,-1,300,"{'clf__learning_rate': 0.025, 'clf__max_depth': -1, 'clf__num_leaves': 300}",-0.911135189144096,-0.908408940089088,-0.9252154452490747,-0.9267115391340585,-0.9308603455998088,-0.9204662918432251,0.008967085749510748,48,-0.4689286576682594,-0.46757747083568985,-0.46684970379187235,-0.46745240198819643,-0.46817775076751816,-0.4677971970103073,0.0007056813701218731
2,603.1301997661591,1.1819552625402094,3.5669246673583985,0.17066826152898384,0.025,-1,400,"{'clf__learning_rate': 0.025, 'clf__max_depth': -1, 'clf__num_leaves': 400}",-0.9030636202493117,-0.901728127719115,-0.9161047140419292,-0.9253143795510643,-0.9242791060109289,-0.91409798951447,0.010082264307313486,41,-0.38722454091275527,-0.3874702452648964,-0.3862371866375843,-0.386488936619166,-0.38417529334348116,-0.3863192405555766,0.0011641666397291712
3,694.6079761981964,5.997272099184383,3.976148223876953,0.1782520265253054,0.025,-1,500,"{'clf__learning_rate': 0.025, 'clf__max_depth': -1, 'clf__num_leaves': 500}",-0.901442477364631,-0.9029356782284438,-0.9181957425449148,-0.9169328213044398,-0.9247401660549892,-0.9128493770994837,0.009110958115391605,38,-0.32627875282115426,-0.32527614774387176,-0.3245760356333381,-0.32546624780380956,-0.32452179324449015,-0.3252237954493328,0.0006460431623532133
4,788.2996760845184,2.1858584555405485,4.541221714019775,0.23504433915962267,0.025,-1,600,"{'clf__learning_rate': 0.025, 'clf__max_depth': -1, 'clf__num_leaves': 600}",-0.902411181921287,-0.9018210666111638,-0.92033324382662,-0.9177066987376945,-0.9251671834344297,-0.913487874906239,0.009590321591589759,39,-0.27929060797850364,-0.27783779048253304,-0.2780785292545875,-0.2787504197581033,-0.27670638080478055,-0.27813274565570156,0.0008771112946045022
5,352.6356074333191,1.0195502259855362,2.1385927200317383,0.0955016860141375,0.025,20,200,"{'clf__learning_rate': 0.025, 'clf__max_depth': 20, 'clf__num_leaves': 200}",-0.9193425809558579,-0.915555996374944,-0.933453285929211,-0.9347312068631102,-0.9399407032378729,-0.9286047546721992,0.009440374534235482,55,-0.5794665789892345,-0.5785047716089784,-0.5782302155664336,-0.576771092816609,-0.5788262804299618,-0.5783597878822435,0.0008949148707228771
6,467.27966985702517,2.064951609243761,2.9867970943450928,0.3605896510556814,0.025,20,300,"{'clf__learning_rate': 0.025, 'clf__max_depth': 20, 'clf__num_leaves': 300}",-0.9088267600772486,-0.9061921027509281,-0.9240447162439255,-0.9224469669654677,-0.9302673408879724,-0.9183555773851084,0.009270861382463368,46,-0.46726286555719265,-0.46821177686197574,-0.46657819845647713,-0.46653080873989733,-0.4644095778684474,-0.4665986454967981,0.001252231454523334
7,573.8395697116852,1.6292541725756309,3.368960809707642,0.14144692656427754,0.025,20,400,"{'clf__learning_rate': 0.025, 'clf__max_depth': 20, 'clf__num_leaves': 400}",-0.9107821543634429,-0.9035636664486746,-0.9207626578253824,-0.9169534629836792,-0.9259475345657812,-0.915601895237392,0.007792834060045648,44,-0.3878699768045948,-0.38579517714518635,-0.3851466718452659,-0.3840724150474858,-0.38374817322220134,-0.38532648281294685,0.0014686807121582748
8,671.8963456630706,2.3192207354660503,4.064147043228149,0.11806824513624371,0.025,20,500,"{'clf__learning_rate': 0.025, 'clf__max_depth': 20, 'clf__num_leaves': 500}",-0.9016067252057838,-0.9018170494140009,-0.913822549860063,-0.9180956881729159,-0.9244800585080778,-0.9119644142321682,0.009032577422967559,34,-0.3260841319422225,-0.325593219898781,-0.324760809973886,-0.32509326764746266,-0.3235779206819443,-0.3250218700288593,0.0008500683190359191
9,761.6131200313569,0.939183462126723,4.923871994018555,0.5897755589813224,0.025,20,600,"{'clf__learning_rate': 0.025, 'clf__max_depth': 20, 'clf__num_leaves': 600}",-0.9034149471240603,-0.8987986993717547,-0.9163121344034941,-0.9178949876399412,-0.924072312150275,-0.9120986161379051,0.009455315420325709,35,-0.2806160290823041,-0.27861330457008116,-0.2791696515916766,-0.2798578838555741,-0.27738052468954044,-0.2791274787578353,0.001101569410911338
10,353.4143409729004,1.0066333659430027,2.0120680809020994,0.04556709262552015,0.025,25,200,"{'clf__learning_rate': 0.025, 'clf__max_depth': 25, 'clf__num_leaves': 200}",-0.9203821081728492,-0.9147194910111623,-0.9318451840083306,-0.9335892699694582,-0.9385531508349533,-0.9278178407993508,0.008850227753177288,54,-0.5782434401675588,-0.5789263693327541,-0.5776109086363571,-0.5794192172550052,-0.579502133941634,-0.5787404138666619,0.000720879444969475
