,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__learning_rate,param_clf__max_depth,param_clf__num_leaves,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,205.13913741111756,2.4584258212542816,1.111701536178589,0.11929353571145643,0.001,10,100,"{'clf__learning_rate': 0.001, 'clf__max_depth': 10, 'clf__num_leaves': 100}",-1.5055605006860535,-1.5063210838382664,-1.5075612719840328,-1.509103867427094,-1.5098117386205234,-1.5076716925111942,0.001607755562424536,64,-1.4947725560610445,-1.4952166935412903,-1.4947139232602744,-1.4951883299064912,-1.4954290373143149,-1.495064108016683,0.0002755063407454873
1,348.76995329856874,1.3430834483513592,3.0563127994537354,0.3242541683775777,0.001,10,300,"{'clf__learning_rate': 0.001, 'clf__max_depth': 10, 'clf__num_leaves': 300}",-1.50117068868847,-1.5004651462821093,-1.5018368037405048,-1.5032583043521837,-1.50513439317017,-1.5023730672466875,0.0016602421956476946,60,-1.4718423095806323,-1.4729485228093113,-1.4721016069483681,-1.4712717618582423,-1.4718228322118199,-1.4719974066816748,0.0005470962163789095
2,421.159349822998,7.645247484033091,5.106302928924561,0.9077800911401447,0.001,10,900,"{'clf__learning_rate': 0.001, 'clf__max_depth': 10, 'clf__num_leaves': 900}",-1.5002230559583005,-1.501111657803548,-1.502886055454435,-1.5025572814920147,-1.5048534660296347,-1.5023263033475867,0.0015907380629162475,59,-1.4678937084064947,-1.469140533420392,-1.4681921815372088,-1.4665546025000022,-1.467753501043398,-1.4679069053814993,0.0008313423792591541
3,415.2877634048462,7.205467262160943,4.90423469543457,0.5102823648393227,0.001,10,1200,"{'clf__learning_rate': 0.001, 'clf__max_depth': 10, 'clf__num_leaves': 1200}",-1.500604857139007,-1.4999878956385395,-1.5026651019099793,-1.503402110954811,-1.5037037577047805,-1.5020727446694235,0.0015019716792402317,58,-1.4675494639944382,-1.4682184270476004,-1.4682714846610123,-1.467064299634343,-1.4675788541029056,-1.4677365058880598,0.0004539053413192112
4,214.84957280158997,1.2804817211548138,1.2067417621612548,0.08957995439698757,0.001,25,100,"{'clf__learning_rate': 0.001, 'clf__max_depth': 25, 'clf__num_leaves': 100}",-1.505610319701295,-1.5051569394201472,-1.507599866881678,-1.5088777099466415,-1.509249537473815,-1.5072988746847156,0.0016629796759639714,63,-1.4947627661379488,-1.4944359592803385,-1.4942409488105977,-1.4950314438761083,-1.4948441739293066,-1.49466305840686,0.0002857281374267765
5,456.8013934135437,2.1266257677381883,2.575921964645386,0.13924571448733414,0.001,25,300,"{'clf__learning_rate': 0.001, 'clf__max_depth': 25, 'clf__num_leaves': 300}",-1.498810210712766,-1.49949037666306,-1.501701531679941,-1.50201519781013,-1.5028182627985878,-1.500967115932897,0.0015425683666504626,55,-1.4653148630334163,-1.4668738509828965,-1.4661263536493612,-1.4664962135939683,-1.4659205379350588,-1.4661463638389403,0.0005280953951423183
6,978.6221037864685,3.0851948949863814,6.064186382293701,0.12221717448311721,0.001,25,900,"{'clf__learning_rate': 0.001, 'clf__max_depth': 25, 'clf__num_leaves': 900}",-1.4946736036618467,-1.4944684861726631,-1.4976004856836875,-1.498708573378794,-1.498278424250027,-1.4967459146294035,0.0018117428025252367,52,-1.420129585061855,-1.4198972135962404,-1.419743551232533,-1.4197896295979753,-1.4197882403937796,-1.4198696439764766,0.00013946876060229047
7,1214.9251718044281,7.3620911640961815,9.591489362716676,0.36395557116423743,0.001,25,1200,"{'clf__learning_rate': 0.001, 'clf__max_depth': 25, 'clf__num_leaves': 1200}",-1.4941317759819464,-1.4939452641083448,-1.4963837209611548,-1.4971959314068681,-1.4979253886614878,-1.4959164162239602,0.00161008599346447,49,-1.4112728774444245,-1.4112207874471432,-1.4114156013820591,-1.4110392881869667,-1.4114297038381256,-1.4112756516597438,0.00014297095355246498
8,217.62157273292542,1.242085121970578,1.0827142238616942,0.03799319005749356,0.001,50,100,"{'clf__learning_rate': 0.001, 'clf__max_depth': 50, 'clf__num_leaves': 100}",-1.5056082627217588,-1.505842127136518,-1.5074247488722023,-1.5088704777403075,-1.508597497025201,-1.5072686226991976,0.0013526201812749797,62,-1.4950212162597512,-1.494615937224085,-1.4944090901387062,-1.4952692509601302,-1.4942151926486995,-1.4947061374462745,0.00038827090168369334
9,458.18596205711367,1.956334282870028,2.3350498199462892,0.06346532509815916,0.001,50,300,"{'clf__learning_rate': 0.001, 'clf__max_depth': 50, 'clf__num_leaves': 300}",-1.4987404284836625,-1.4994353215377074,-1.502592282745936,-1.503122506221329,-1.5023073198332122,-1.5012395717643696,0.001789770439206427,57,-1.4659754164015673,-1.4663575809010185,-1.4667557515156808,-1.4663172325640157,-1.4660362820293948,-1.4662884526823354,0.0002776893743503528
10,978.0644654273987,2.049396999165294,6.243066596984863,0.3543761590337526,0.001,50,900,"{'clf__learning_rate': 0.001, 'clf__max_depth': 50, 'clf__num_leaves': 900}",-1.49551277583997,-1.4937678302187734,-1.4975895928835525,-1.4975489699039624,-1.4982382883324257,-1.4965314914357368,0.001657926508680378,51,-1.4203527022390872,-1.420104710864722,-1.420004596119813,-1.4204700036538331,-1.4191674515347183,-1.420019892882435,0.0004576999250091235
11,1217.5757384777069,3.239869975396464,9.208996295928955,0.40779401580702734,0.001,50,1200,"{'clf__learning_rate': 0.001, 'clf__max_depth': 50, 'clf__num_leaves': 1200}",-1.496127693091298,-1.493932942107234,-1.4980437382347016,-1.4958035893051607,-1.498194103689414,-1.4964204132855616,0.0015770118158819303,50,-1.411591234914254,-1.4116612178642218,-1.4107857967037236,-1.4108165895123241,-1.4109058316718792,-1.4111521341332807,0.0003897265575759968
12,216.9889946937561,1.4437451528061807,1.0816116809844971,0.01559652468212568,0.001,75,100,"{'clf__learning_rate': 0.001, 'clf__max_depth': 75, 'clf__num_leaves': 100}",-1.5059115778491785,-1.5052898401923467,-1.507969607194983,-1.508126970973181,-1.5087662140459006,-1.507212842051118,0.0013573882565709303,61,-1.494805755383508,-1.4939554215703346,-1.4944707500991752,-1.4942840866566227,-1.4948455461538142,-1.4944723119726908,0.00033259439540736947
13,459.4189867019653,2.1197272914488297,2.4170062065124513,0.12085382275816094,0.001,75,300,"{'clf__learning_rate': 0.001, 'clf__max_depth': 75, 'clf__num_leaves': 300}",-1.5001765845180457,-1.4992648575645893,-1.5015847877285446,-1.5020220117150775,-1.5029545331749374,-1.501200554940239,0.0013186588241055446,56,-1.4664639698456154,-1.4660095906995911,-1.4658921745225788,-1.4662032297788452,-1.4661329582688354,-1.4661403846230932,0.0001936116551224418
14,975.2099466800689,2.9843849347538147,6.426073884963989,0.21195305989555457,0.001,75,900,"{'clf__learning_rate': 0.001, 'clf__max_depth': 75, 'clf__num_leaves': 900}",-1.4952792629510654,-1.4945926021178075,-1.4971965060980663,-1.4981714311032188,-1.4990166886263196,-1.4968512981792956,0.0016807044885433964,54,-1.4208962285266382,-1.4194068324115436,-1.4200409271321057,-1.4201859391620482,-1.41978571670358,-1.420063128787183,0.0004934192688473808
15,1218.217581319809,3.8429668020383234,9.402551794052124,0.6046353670212798,0.001,75,1200,"{'clf__learning_rate': 0.001, 'clf__max_depth': 75, 'clf__num_leaves': 1200}",-1.4944667178665727,-1.4952767743882813,-1.49797853354902,-1.4982079474495327,-1.498263567187874,-1.4968387080882564,0.0016291234734124452,53,-1.4119042861877058,-1.411347311884926,-1.4112974741799753,-1.4109391448887345,-1.4112262634543782,-1.411342896119144,0.00031428003282826165
16,193.07971649169923,0.7547200251134044,1.1621263027191162,0.03253105473292291,0.01,10,100,"{'clf__learning_rate': 0.01, 'clf__max_depth': 10, 'clf__num_leaves': 100}",-1.0998556828646884,-1.0980512746083761,-1.111015276360567,-1.1123791846964841,-1.1171602874672448,-1.107692341199472,0.007443302834761428,40,-1.012013037491805,-1.0105807927659558,-1.0122760005854885,-1.0114389078105255,-1.0108372022645356,-1.011429188183662,0.0006524243776686308
17,342.8275950431824,0.7064673799127327,2.9755333423614503,0.10870395168795556,0.01,10,300,"{'clf__learning_rate': 0.01, 'clf__max_depth': 10, 'clf__num_leaves': 300}",-1.0845167850293282,-1.083494680070391,-1.0909669949005976,-1.095063817420328,-1.0981057780267944,-1.0904296110894878,0.005722638705771554,38,-0.8716429275930107,-0.8730515227068053,-0.8713259251173646,-0.8684268729129754,-0.8672749342058105,-0.8703444365071933,0.002148330011894696
18,410.04111499786376,6.6677670179237225,4.5176490306854244,0.30909843217548694,0.01,10,900,"{'clf__learning_rate': 0.01, 'clf__max_depth': 10, 'clf__num_leaves': 900}",-1.0786283307682858,-1.078822062249469,-1.093465156374743,-1.0934876005686958,-1.0977275706436187,-1.0884261441209624,0.008071704359187866,36,-0.8452212032857762,-0.8510690520677884,-0.8463001616649626,-0.8442936774317967,-0.842480215485916,-0.845872861987248,0.002884840015462249
19,407.94585399627687,8.165987709960907,4.3802947998046875,0.39195275914110544,0.01,10,1200,"{'clf__learning_rate': 0.01, 'clf__max_depth': 10, 'clf__num_leaves': 1200}",-1.079470580693498,-1.083377999540845,-1.093518716688347,-1.0928491351268304,-1.0975735608987829,-1.0893579985896606,0.00678994101226453,37,-0.845814522625533,-0.8549255911007785,-0.8523257275320547,-0.8462444174697408,-0.8399558178647074,-0.847853215318563,0.005275135062988514
20,215.1276361465454,1.9016710762346216,1.266765022277832,0.070155235120924,0.01,25,100,"{'clf__learning_rate': 0.01, 'clf__max_depth': 25, 'clf__num_leaves': 100}",-1.0992774409319863,-1.0997512645330574,-1.1113017800219565,-1.1131708478223232,-1.1168861628875464,-1.1080774992393738,0.007220774919869603,42,-1.0099149807493508,-1.0105542850753813,-1.010375967504718,-1.0109803654580285,-1.0082429036508809,-1.0100137004876717,0.0009490392275292019
21,462.8025879383087,2.4603826828761295,2.628528928756714,0.24922532069156997,0.01,25,300,"{'clf__learning_rate': 0.01, 'clf__max_depth': 25, 'clf__num_leaves': 300}",-1.073513184987906,-1.0747605720877473,-1.0861790300194316,-1.0878662382244766,-1.089299582204621,-1.0823237215048365,0.006768638129703468,35,-0.8389626383907316,-0.8396761577136458,-0.8396042043818124,-0.8399543653582502,-0.8373593326024279,-0.8391113396893735,0.0009342663638284444
22,1002.9580522060394,2.1432428420960603,6.263412809371948,0.27849539524429767,0.01,25,900,"{'clf__learning_rate': 0.01, 'clf__max_depth': 25, 'clf__num_leaves': 900}",-1.0601854067320224,-1.0637735747142074,-1.0756461170422253,-1.0740170145238586,-1.0810089285513205,-1.0709262083127267,0.007746184284537042,31,-0.6049835090134689,-0.6056823433310679,-0.6055288697330893,-0.6056023814884746,-0.6041414877651187,-0.6051877182662438,0.000577803348269506
23,1232.2161355495452,4.440680378458269,8.832626104354858,0.37538549762047513,0.01,25,1200,"{'clf__learning_rate': 0.01, 'clf__max_depth': 25, 'clf__num_leaves': 1200}",-1.0588136555084975,-1.0635284277003438,-1.0725658244865464,-1.0696196750716154,-1.0778414572277495,-1.0684738079989506,0.0066870889749343805,27,-0.5600814063886166,-0.5608794397899194,-0.561246556830875,-0.5582827512708332,-0.5582708026163022,-0.5597521913793092,0.0012622176122975984
24,219.82401437759398,0.9231904189434984,1.2037032127380372,0.03945219798513955,0.01,50,100,"{'clf__learning_rate': 0.01, 'clf__max_depth': 50, 'clf__num_leaves': 100}",-1.0989167299357723,-1.1008092403163579,-1.1093139073847178,-1.1148826667888896,-1.11758113738661,-1.1083007363624695,0.007411562000720604,43,-1.0091616363599902,-1.01059271250822,-1.0095655161454236,-1.0123942708817295,-1.0084418636412547,-1.0100311999073237,0.001371013692611082
25,467.7265920162201,1.603098295070435,2.6268139362335203,0.23593366263395218,0.01,50,300,"{'clf__learning_rate': 0.01, 'clf__max_depth': 50, 'clf__num_leaves': 300}",-1.07440418192432,-1.073584893965904,-1.0836452095464724,-1.08717701460952,-1.0918538585902429,-1.082133031727292,0.007141830275735563,34,-0.8410125249981061,-0.8409717883250369,-0.8390426935063603,-0.8389799864954001,-0.8386071032454453,-0.8397228193140698,0.0010471349863684222
26,1008.6083737850189,2.2335716162998263,6.230636882781982,0.3044428471343968,0.01,50,900,"{'clf__learning_rate': 0.01, 'clf__max_depth': 50, 'clf__num_leaves': 900}",-1.0610801327859554,-1.063260052911056,-1.0751851888258708,-1.0768562562963147,-1.0792849090128547,-1.0711333079664103,0.007465560288176449,32,-0.6050005132624332,-0.6056695719006415,-0.6055320687607691,-0.6061729237994768,-0.6040416949868714,-0.6052833545420384,0.0007244409865338847
27,1239.9065241336823,5.917857561066609,8.806552076339722,0.24343225543632438,0.01,50,1200,"{'clf__learning_rate': 0.01, 'clf__max_depth': 50, 'clf__num_leaves': 1200}",-1.063107381085038,-1.059200400261586,-1.076575511445292,-1.0746828015065018,-1.0771495073957422,-1.070143120338832,0.007487570628423344,30,-0.5604294220252691,-0.5597277270827017,-0.5617928817369633,-0.560254477809583,-0.5599305783551547,-0.5604270174019342,0.0007253715947824533
28,218.28631668090821,1.258424476625691,1.213179874420166,0.016730966307579045,0.01,75,100,"{'clf__learning_rate': 0.01, 'clf__max_depth': 75, 'clf__num_leaves': 100}",-1.1006703876220099,-1.1001974478511476,-1.111379626287711,-1.1106704092208466,-1.1162273029805738,-1.107829034792458,0.006335587829423973,41,-1.0097325865374318,-1.0108585514058621,-1.010439994796069,-1.0088254707872195,-1.0082073174755013,-1.0096127842004168,0.0009844556897211302
29,466.2150552749634,1.023540553317223,2.5411651611328123,0.23519281756901575,0.01,75,300,"{'clf__learning_rate': 0.01, 'clf__max_depth': 75, 'clf__num_leaves': 300}",-1.073009707352504,-1.0737293634000515,-1.0863633752930109,-1.08447214176411,-1.088698979771361,-1.0812547135162076,0.006579945148221663,33,-0.8404140734770483,-0.8405790724509844,-0.8394487852682575,-0.8387012620245322,-0.8381620637229862,-0.8394610513887617,0.0009405340491317873
30,1006.7819291114807,1.5293066671527933,6.380272722244262,0.10680842256095885,0.01,75,900,"{'clf__learning_rate': 0.01, 'clf__max_depth': 75, 'clf__num_leaves': 900}",-1.0597895809468105,-1.0647511175120923,-1.0701095434304388,-1.0748071900500917,-1.078471673512884,-1.0695858210904636,0.006720655203443036,28,-0.6052719670087265,-0.6054218994824955,-0.6057902295523931,-0.6060340250204432,-0.6021515919570531,-0.6049339426042224,0.0014168448183893246
31,1238.3216886520386,4.869554664494674,9.007418394088745,0.4684503616747524,0.01,75,1200,"{'clf__learning_rate': 0.01, 'clf__max_depth': 75, 'clf__num_leaves': 1200}",-1.060552363653407,-1.0615051850274886,-1.0716001676643865,-1.077032706454485,-1.079120289165176,-1.0699621423929886,0.007702099961025622,29,-0.5592125212194552,-0.5607163656077784,-0.5606660869523681,-0.5615481436554597,-0.559493726769639,-0.56032736884094,0.0008595561544842744
32,184.9605740070343,0.6766901047424441,1.247746992111206,0.006209163391245783,0.05,10,100,"{'clf__learning_rate': 0.05, 'clf__max_depth': 10, 'clf__num_leaves': 100}",-0.8829921940255411,-0.8782058004093752,-0.8946966880729548,-0.8953610263712434,-0.9005101813757206,-0.890353178050967,0.0083528702855854,11,-0.5336582069564176,-0.5350646508446788,-0.5336722882324657,-0.5355086339607915,-0.5332590171937241,-0.5342325594376156,0.0008845689792239637
33,326.95662207603453,0.9398990822128919,2.9115137577056887,0.1701324459245321,0.05,10,300,"{'clf__learning_rate': 0.05, 'clf__max_depth': 10, 'clf__num_leaves': 300}",-0.8860558656402614,-0.8775819332210153,-0.8955046969816098,-0.8953972888869765,-0.9013059809638602,-0.8911691531387447,0.008368842271303772,13,-0.29570826851042464,-0.2934515412959796,-0.2933858397044635,-0.3005255769125965,-0.30128265602386456,-0.2968707764894658,0.003406159880690686
34,371.044636964798,2.6213961260804712,3.934047079086304,0.16248036002528957,0.05,10,900,"{'clf__learning_rate': 0.05, 'clf__max_depth': 10, 'clf__num_leaves': 900}",-0.8825591059415864,-0.8741382129744992,-0.9007905117105992,-0.9011370860628117,-0.9007094762989287,-0.891866878597685,0.011355172610601542,14,-0.28232785555419043,-0.2747018791970085,-0.282719718762091,-0.2789427347015034,-0.2858245082460815,-0.280903339292175,0.00379073772517375
35,375.466575050354,2.5510216706571933,3.9094266414642336,0.35313393737749477,0.05,10,1200,"{'clf__learning_rate': 0.05, 'clf__max_depth': 10, 'clf__num_leaves': 1200}",-0.885349823522043,-0.878843449046444,-0.8945493939967564,-0.8953881212474119,-0.9013518318239572,-0.8910965239273224,0.00798340615168018,12,-0.28179316381123687,-0.27479672594412186,-0.27816157382610135,-0.2807219219501809,-0.2827694472263312,-0.2796485665515944,0.0028720302940489725
36,217.76250152587892,2.076132611251987,1.3676876544952392,0.09580413334610059,0.05,25,100,"{'clf__learning_rate': 0.05, 'clf__max_depth': 25, 'clf__num_leaves': 100}",-0.8805569703025296,-0.8773001130288327,-0.8912518535996079,-0.8923150651626656,-0.90251103565976,-0.8887870075506792,0.00901724861539496,9,-0.5264596989493234,-0.5278965469923369,-0.5252401641191871,-0.5280861460694276,-0.5259651661654131,-0.5267295444591376,0.0011025069082459531
37,474.1615354537964,1.5429028225896335,2.6871083259582518,0.0934656135255203,0.05,25,300,"{'clf__learning_rate': 0.05, 'clf__max_depth': 25, 'clf__num_leaves': 300}",-0.8677044833434061,-0.8594524670756155,-0.883419461093184,-0.8782427033960012,-0.8833467059194445,-0.8744331641655302,0.009427765155380477,3,-0.21078233992154025,-0.21120263640638523,-0.21114540372100352,-0.2097977527930266,-0.21350162386220753,-0.21128595134083264,0.0012169025526352628
38,1045.1700788497924,3.0152951826143877,6.451981544494629,0.19448830107850892,0.05,25,900,"{'clf__learning_rate': 0.05, 'clf__max_depth': 25, 'clf__num_leaves': 900}",-0.8976702081775181,-0.8999363419597012,-0.9167043504817355,-0.9160900314454791,-0.9230673473559495,-0.9106936558840767,0.010036807783555028,15,-0.03365602119362038,-0.03331395851020514,-0.03331241254772941,-0.03353322347436974,-0.03285640614935657,-0.03333440437505625,0.0002728920628621728
39,1266.8208727359772,6.625972890755615,8.303984880447388,0.28658384868982,0.05,25,1200,"{'clf__learning_rate': 0.05, 'clf__max_depth': 25, 'clf__num_leaves': 1200}",-0.9193095414751024,-0.917237146989574,-0.9270381262958856,-0.9333999189557478,-0.9456388712827349,-0.9285247209998089,0.010307284021884733,25,-0.02066433149597196,-0.020437885581824595,-0.020577218835781338,-0.020596575786883373,-0.020370263626884842,-0.02052925506546922,0.00010835580737205765
40,219.50509033203124,0.9883906827828086,1.3491284847259521,0.02796096558022636,0.05,50,100,"{'clf__learning_rate': 0.05, 'clf__max_depth': 50, 'clf__num_leaves': 100}",-0.8816776280421921,-0.8757062279927368,-0.897071867171259,-0.8943665186170947,-0.8964163495413849,-0.8890477182729335,0.008709614484232941,10,-0.5318823199000803,-0.531605792383591,-0.5270882275959662,-0.5290473880351356,-0.5276482772434803,-0.5294544010316506,0.001977361586870038
